propertyType,furnishing,flrNum,facing,totalFlrNum,city,carpetArea,bedrooms,bathrooms,exactPrice
Multistorey Apartment,Furnished,1.0,Unknown,6,Patna,1300.0,3,2,17000000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,5,Patna,1000.0,2,2,6413000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,13104000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,3,2,13537500
Multistorey Apartment,Unfurnished,4.0,East,5,Patna,1000.0,2,2,6600000
Multistorey Apartment,Unfurnished,5.0,Unknown,5,Patna,1200.0,3,2,6500000
Multistorey Apartment,Unfurnished,1.0,North,7,Patna,862.0,2,2,6188000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,3,11300000
Multistorey Apartment,Unfurnished,3.0,South -West,5,Patna,1245.0,3,3,10147500
Multistorey Apartment,Furnished,5.0,East,5,Patna,2200.0,4,4,20000000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,2,2,6244000
Multistorey Apartment,Semi-Furnished,5.0,West,5,Patna,1121.0,3,2,12500000
Multistorey Apartment,Semi-Furnished,4.0,South -West,5,Patna,1050.0,3,2,7220000
Multistorey Apartment,Unfurnished,4.0,South - East,4,Patna,1000.0,3,2,6500000
Multistorey Apartment,Semi-Furnished,3.0,North,3,Patna,1000.0,3,2,7500000
Multistorey Apartment,Unfurnished,1.0,East,4,Patna,1000.0,3,2,7100000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,5,Patna,1000.0,2,2,7051000
Multistorey Apartment,Unfurnished,4.0,East,4,Patna,1250.0,3,3,12500000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,12870000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,3,2,13312500
Multistorey Apartment,Semi-Furnished,2.0,Unknown,3,Patna,1000.0,1,1,3900000
Multistorey Apartment,Unfurnished,2.0,East,4,Patna,1000.0,1,1,2500000
Multistorey Apartment,Furnished,6.0,South - East,6,Patna,1350.0,3,2,8500000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,9950000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,2,2,5790000
Multistorey Apartment,Unfurnished,2.0,Unknown,6,Patna,1000.0,2,2,5044000
Multistorey Apartment,Unfurnished,4.0,South,5,Patna,850.0,3,2,9800000
Multistorey Apartment,Unfurnished,3.0,East,4,Patna,1000.0,3,2,8500000
Multistorey Apartment,Semi-Furnished,4.0,South - East,11,Patna,1067.0,3,2,8036000
Builder Floor Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,3,2,8094000
Multistorey Apartment,Unfurnished,2.0,West,7,Patna,1128.0,3,2,8075600
Multistorey Apartment,Unfurnished,1.0,West,6,Patna,1030.0,3,2,10000000
Multistorey Apartment,Semi-Furnished,3.0,East,6,Patna,1500.0,4,3,10500000
Multistorey Apartment,Unfurnished,1.0,North,6,Patna,882.0,2,2,6173000
Residential House,Unfurnished,2.0,East,3,Patna,1000.0,7,3,16500000
Multistorey Apartment,Semi-Furnished,1.0,East,6,Patna,900.0,2,2,8000000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,4,4,15892400
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,13704600
Multistorey Apartment,Unfurnished,2.0,Unknown,6,Patna,1000.0,2,2,5046600
Multistorey Apartment,Semi-Furnished,2.0,North,4,Patna,1000.0,3,2,8500000
Multistorey Apartment,Semi-Furnished,5.0,North,5,Patna,830.0,2,2,5104200
Multistorey Apartment,Unfurnished,2.0,South - East,4,Patna,1400.0,3,2,8600000
Multistorey Apartment,Unfurnished,2.0,North - West,4,Patna,1000.0,2,2,4500000
Multistorey Apartment,Unfurnished,2.0,East,7,Patna,1134.0,3,2,8106800
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,3,6605000
Multistorey Apartment,Semi-Furnished,2.0,East,4,Patna,1000.0,3,2,9000000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,2,2,5125000
Multistorey Apartment,Semi-Furnished,5.0,South,6,Patna,977.0,3,2,6555000
Multistorey Apartment,Semi-Furnished,2.0,East,6,Patna,800.0,2,2,7015000
Multistorey Apartment,Unfurnished,2.0,Unknown,3,Patna,1000.0,1,1,3740000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,3,2,7250000
Multistorey Apartment,Semi-Furnished,3.0,North,7,Patna,1026.0,3,2,4600000
Multistorey Apartment,Unfurnished,1.0,West,4,Patna,980.0,3,2,7000000
Multistorey Apartment,Semi-Furnished,4.0,East,7,Patna,800.0,2,2,6000000
Multistorey Apartment,Unfurnished,3.0,North,7,Patna,1900.0,3,3,30000000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,12246000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,4,4,18103400
Multistorey Apartment,Semi-Furnished,3.0,North - East,5,Patna,1103.0,3,2,6204000
Multistorey Apartment,Semi-Furnished,3.0,West,4,Patna,1000.0,3,2,8500000
Multistorey Apartment,Unfurnished,4.0,East,11,Patna,840.0,2,2,5400000
Multistorey Apartment,Unfurnished,3.0,North,5,Patna,1000.0,3,2,7000000
Multistorey Apartment,Unfurnished,2.0,South,4,Patna,1400.0,3,2,8400000
Multistorey Apartment,Unfurnished,1.0,West,12,Patna,1126.0,3,2,7272600
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,2,2,5255000
Multistorey Apartment,Semi-Furnished,6.0,North - West,6,Patna,876.0,2,2,5866250
Multistorey Apartment,Semi-Furnished,4.0,North,4,Patna,1000.0,3,3,12500000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,7045000
Multistorey Apartment,Unfurnished,2.0,Unknown,3,Patna,1000.0,1,1,3751000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,3,2,7252000
